queries,mae_no_hysteresis,mae_with_hysteresis
1,0.3333333333333333,0.2928932188134525
2,0.25,0.25
3,0.2,0.22474487139158905
4,0.16666666666666666,0.20710678118654754
5,0.14285714285714285,0.19371294336139652
6,0.125,0.18301270189221933
7,0.1111111111111111,0.17416573867739416
8,0.1,0.16666666666666666
9,0.09090909090909091,0.16018862050852037
10,0.08333333333333333,0.1545084971874737
11,0.07692307692307693,0.14946754221241276
12,0.07142857142857142,0.14494897427831782
13,0.06666666666666667,0.14086452334512659
14,0.0625,0.13714594258871587
15,0.058823529411764705,0.13373944519429465
16,0.05555555555555555,0.1306019374818707
17,0.05263157894736842,0.12769839649484335
18,0.05,0.125
19,0.047619047619047616,0.1224827647932052
20,0.045454545454545456,0.12012653667602105
21,0.043478260869565216,0.11791422890547
22,0.041666666666666664,0.11583123951777
23,0.04,0.11386499959822066
24,0.038461538461538464,0.11200461886989795
25,0.037037037037037035,0.1102406046057712
